USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root       14231  0.0  0.0      0     0 ?        I    10:09   0:00  \_ [kworker/13:0]
root       14272  2.2  0.0      0     0 ?        I    10:09   0:06  \_ [kworker/u64:1-btrfs-endio-write]
root       14532  0.0  0.0      0     0 ?        I    10:11   0:00  \_ [kworker/8:1-nouveau_sched_wq_shared]
root       14533  0.0  0.0      0     0 ?        I    10:11   0:00  \_ [kworker/0:1]
root       14890  0.0  0.0      0     0 ?        I    10:13   0:00  \_ [kworker/3:1-nouveau_sched_wq_shared]
root       14938  2.1  0.0      0     0 ?        I    10:13   0:01  \_ [kworker/u64:3-btrfs-endio-write]
root       14939  0.0  0.0      0     0 ?        I    10:13   0:00  \_ [kworker/u64:4]
root       14943  0.0  0.0      0     0 ?        I    10:13   0:00  \_ [kworker/2:2]
root           1  0.0  0.1  39108 21104 ?        Ss   Apr19   0:02 /usr/lib/systemd/systemd --switched-root --system --deserialize=60 rhgb
root         627  0.0  0.1 183440 19808 ?        Ss   Apr19   0:00 /usr/lib/systemd/systemd-journald
root         644  0.0  0.0  16564  6952 ?        Ss   Apr19   0:00 /usr/lib/systemd/systemd-userdbd
root       14549  0.0  0.0  17016  7888 ?        S    10:12   0:00  \_ systemd-userwork: waiting...
root       15109  0.0  0.0  17016  7204 ?        S    10:13   0:00  \_ systemd-userwork: waiting...
root       15137  0.0  0.0  17016  7244 ?        S    10:14   0:00  \_ systemd-userwork: waiting...
root         670  0.0  0.0  40752 15928 ?        Ss   Apr19   0:00 /usr/lib/systemd/systemd-udevd
systemd+     904  0.0  0.1  24076 16520 ?        Ss   Apr19   0:00 /usr/lib/systemd/systemd-resolved
root         907  0.0  0.0  29132  3480 ?        S<sl Apr19   0:00 /usr/bin/auditd
root         909  0.0  0.0   6592  3664 ?        S<   Apr19   0:00  \_ /usr/sbin/sedispatch
dbus         935  0.0  0.0   9588  5148 ?        Ss   Apr19   0:00 /usr/bin/dbus-broker-launch --scope system --audit
dbus         936  0.0  0.0  10304  6428 ?        S    Apr19   0:01  \_ dbus-broker --log 10 --controller 9 --machine-id 00b569430e474a3cb5388dd442e10870 --max-bytes 536870912 --max-fds 4096 --max-matches 131072 --audit
avahi        939  0.0  0.0   6560  4600 ?        Ss   Apr19   0:00 avahi-daemon: running [fedora.local]
avahi        986  0.0  0.0   6560  1660 ?        S    Apr19   0:00  \_ avahi-daemon: chroot helper
root         940  0.0  0.0   9352  6144 ?        Ss   Apr19   0:00 /usr/libexec/bluetooth/bluetoothd
root         943  0.0  0.0  81020  4400 ?        Ssl  Apr19   0:00 /usr/sbin/irqbalance
chrony       945  0.0  0.0  86448  6636 ?        Ss   Apr19   0:00 /usr/sbin/chronyd -n -F 2
root         946  0.0  0.0   3208  2028 ?        Ss   Apr19   0:00 /usr/sbin/mcelog --daemon --foreground
polkitd      949  0.0  0.0 611428 12808 ?        Ssl  Apr19   0:00 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
rtkit        952  0.0  0.0  87256  3620 ?        SNsl Apr19   0:00 /usr/libexec/rtkit-daemon
root         953  0.0  0.0   9676  6024 ?        Ss   Apr19   0:00 /usr/bin/smartd -n -q never --capabilities=mail
root         954  0.0  0.0 531456  7340 ?        Ssl  Apr19   0:00 /usr/libexec/switcheroo-control
root         958  0.0  0.0 610704 10336 ?        Ssl  Apr19   0:01 /usr/bin/thermald --systemd --dbus-enable --adaptive
root         959  0.0  0.0 542812 14904 ?        Ssl  Apr19   0:00 /usr/libexec/udisks2/udisksd
root         961  0.0  0.0 542136 11192 ?        Ssl  Apr19   0:01 /usr/libexec/upowerd
root         978  0.0  0.0 534012  8452 ?        Ssl  Apr19   0:00 /usr/libexec/accounts-daemon
root         984  0.0  0.0  20164 12112 ?        Ss   Apr19   0:00 /usr/lib/systemd/systemd-logind
root         997  0.0  0.0   4976  3640 ?        SNs  Apr19   0:00 /usr/sbin/alsactl -s -n 19 -c -E ALSA_CONFIG_PATH=/etc/alsa/alsactl.conf --initfile=/lib/alsa/init/00main rdaemon
root        1002  0.0  0.0 553688 14596 ?        Ssl  Apr19   0:00 /usr/sbin/abrtd -d -s
root        1059  0.0  0.0 391360 13968 ?        Ssl  Apr19   0:00 /usr/bin/ModemManager
root        1062  0.0  0.3 369404 50104 ?        Ssl  Apr19   0:00 /usr/bin/python3 -sP /usr/bin/firewalld --nofork --nopid
